name,path,pose,gaze,control,scene_obj,scene_cam,video,MS_rating,face,manual
3_2_Wild_Quest,/data/VR_NET/zipped/22/3_2_Wild_Quest.zip,0,0,0,0,0,0,1,0,0
39_2_Citadel,/data/VR_NET/zipped/2/39_2_Citadel.zip,0,0,0,0,0,0,1,0,0
20_1_Mars_Miners,/data/VR_NET/zipped/0/20_1_Mars_Miners.zip,0,0,0,0,0,0,1,0,0
61_2_UFO_crash_site_venue,/data/VR_NET/zipped/3/61_2_UFO_crash_site_venue.zip,0,0,0,0,0,0,1,0,0
42_1_Super_Rumble,/data/VR_NET/zipped/2/42_1_Super_Rumble.zip,0,0,0,0,0,0,1,0,0
304_2_Kawaii_Urgent_Care,/data/VR_NET/zipped/18/304_2_Kawaii_Urgent_Care.zip,0,1,1,0,0,1,1,1,0
81_2_Venues,/data/VR_NET/zipped/4/81_2_Venues.zip,0,0,0,0,0,0,1,0,0
29_1_Army_Men,/data/VR_NET/zipped/1/29_1_Army_Men.zip,0,0,0,0,0,0,1,0,0
33_1_Citadel,/data/VR_NET/zipped/1/33_1_Citadel.zip,0,0,0,0,0,0,1,0,0
